Nationality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,20469,24516,14816,25507,33371,38429,38972,6793,2477,26894
Bangladesh,22410,21851,14831,23440,29060,26355,25849,4917,5044,25383
Canada,12132,11610,6495,12491,15105,17317,17102,3102,2438,9755
China,113173,123805,64675,104005,104664,153633,169543,19257,6198,9599
France,21842,24097,10885,20863,26140,31810,30646,4540,2829,16933
Germany,22263,18028,12216,23812,29918,36879,36641,5896,2929,17742
India,180974,135343,75124,118249,160832,194323,254150,40336,64672,209334
Italy,9974,10347,3972,9911,11840,15342,15676,1599,613,6388
Japan,26694,25829,14465,22979,27326,29817,30534,5599,784,5714
South Korea,19714,23205,18112,25171,34301,37218,31108,6944,1263,8240
Malaysia,,,,,18284,22833,21329,3460,331,9569
Myanmar,,,,25796,30852,41402,36274,20911,344,2427
Netherlands,10516,12320,4324,11453,13393,15352,15034,2563,1303,7515
Spain,10412,13110,4307,12255,15953,20214,19383,1625,1151,8349
Sri Lanka,32736,37546,43117,57521,45361,69640,56316,13328,463,4606
Thailand,40969,33422,32338,26722,39154,52429,41660,20778,576,9935
U.S.A.,47355,49830,53897,53645,79146,91895,93241,17767,22854,77083
U.K.,35668,36759,204469,46295,51058,63466,61144,11762,8680,45094
Others,78821,218639,171688,119245,174460,214718,202589,38908,26013,114309
